,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1985-05-28 16:00:00,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-29 16:00:00,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-30 16:00:00,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-31 16:00:00,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-03 16:00:00,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-04 16:00:00,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-05 16:00:00,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-06 16:00:00,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-07 16:00:00,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-10 16:00:00,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-11 16:00:00,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-12 16:00:00,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-13 16:00:00,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-14 16:00:00,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-17 16:00:00,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-18 16:00:00,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-19 16:00:00,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-20 16:00:00,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-21 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-24 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-25 16:00:00,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-26 16:00:00,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-27 16:00:00,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-28 16:00:00,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-01 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-02 16:00:00,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-03 16:00:00,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-05 16:00:00,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-08 16:00:00,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-09 16:00:00,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-10 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-11 16:00:00,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-12 16:00:00,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-15 16:00:00,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-16 16:00:00,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-17 16:00:00,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-18 16:00:00,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-19 16:00:00,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-22 16:00:00,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-23 16:00:00,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-24 16:00:00,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-25 16:00:00,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-26 16:00:00,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-29 16:00:00,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-30 16:00:00,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-31 16:00:00,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-01 16:00:00,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,
